S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
46,"2,728.64","2,764.17","2,720.42","2,730.00",2.41,0.08,"11,875,967,538.34",2025-02-03
47,"2,662.24","2,727.58","2,662.01","2,727.58",69.80,2.62,"12,955,764,136.98",2025-02-02
48,"2,634.86","2,657.96","2,634.69","2,657.77",24.50,0.93,"9,402,678,033.93",2025-01-28
49,"2,642.30","2,650.71","2,625.58","2,633.27",-10.66,-0.40,"8,924,065,888.66",2025-01-27
50,"2,656.75","2,662.36","2,638.65","2,643.93",-10.41,-0.39,"9,128,673,514.79",2025-01-26
51,"2,670.23","2,681.49","2,644.79","2,654.35",-11.10,-0.41,"7,857,792,326.04",2025-01-23
52,"2,616.66","2,667.23","2,614.37","2,665.45",52.36,2.00,"9,203,088,349.68",2025-01-22
53,"2,608.40","2,618.99","2,597.61","2,613.08",5.08,0.19,"6,190,141,891.18",2025-01-21
54,"2,602.88","2,623.61","2,600.77","2,607.99",6.78,0.26,"6,570,477,886.37",2025-01-20
55,"2,590.14","2,604.01","2,580.01","2,601.21",12.58,0.48,"6,257,235,624.30",2025-01-19
56,"2,598.66","2,616.97","2,580.40","2,588.62",-7.33,-0.28,"5,933,711,674.73",2025-01-16
57,"2,596.82","2,611.38","2,589.99","2,595.96",1.83,0.07,"5,824,904,134.69",2025-01-15
58,"2,610.05","2,615.55","2,580.74","2,594.13",-15.54,-0.59,"6,650,883,103.54",2025-01-13
59,"2,651.67","2,654.82","2,602.46","2,609.67",-25.41,-0.96,"3,997,909,323.86",2025-01-12
60,"2,656.49","2,656.61","2,629.06","2,635.09",-18.14,-0.68,"7,305,342,581.67",2025-01-09
61,"2,670.30","2,672.14","2,642.59","2,653.23",6.38,0.24,"6,407,992,784.10",2025-01-08
62,"2,654.34","2,656.52","2,625.24","2,646.84",6.16,0.23,"5,384,672,295.66",2025-01-07
63,"2,601.09","2,640.73","2,594.34","2,640.68",49.12,1.89,"6,305,431,854.50",2025-01-06
64,"2,586.03","2,592.91","2,574.43","2,591.56",5.32,0.20,"4,860,201,974.97",2025-01-05
65,"2,583.94","2,586.23","2,566.27","2,586.23",4.63,0.17,"4,603,282,379.17",2025-01-02
66,"2,577.43","2,589.42","2,567.97","2,581.60",5.10,0.19,"3,597,445,334.37",2025-01-01
67,"2,613.66","2,613.66","2,545.51","2,576.50",-33.08,-1.26,"5,674,686,091.49",2024-12-31
68,"2,631.98","2,641.17","2,601.84","2,609.58",-21.12,-0.80,"5,474,868,764.77",2024-12-29
69,"2,625.39","2,639.08","2,607.75","2,630.71",4.19,0.15,"5,329,274,454.77",2024-12-26
70,"2,615.70","2,645.20","2,612.94","2,626.31",14.11,0.54,"5,202,263,038.57",2024-12-24
71,"2,582.35","2,612.20","2,580.49","2,612.20",28.91,1.11,"4,430,024,603.33",2024-12-23
